"Starting coordinates: [-66.16498947143556, 45.30640634669566]"
"Ending coordinates: [-66.13752365112306, 45.292641220997034]"

PNumber,Lat,Lon,Depth
441,-66.1436980801,45.2946757859,-4.95290374756
442,-66.143640373,45.2946567729,-4.94799995422
443,-66.1435826661,45.2946377598,-4.98099994659
444,-66.1435249591,45.2946187466,-4.99100017548
445,-66.1434672522,45.2945997335,-4.85099983215
446,-66.1434095454,45.2945807203,-4.74100017548
447,-66.1433518386,45.2945617071,-4.65100002289
448,-66.1432941318,45.2945426938,-4.62920093536
449,-66.143236425,45.2945236806,-4.53100013733
450,-66.1431787183,45.2945046673,-4.53642463684
451,-66.1431210117,45.2944856539,-4.53667640686
452,-66.1430633051,45.2944666406,-4.5681810379
453,-66.1430055985,45.2944476272,-4.49339866638
454,-66.1429478919,45.2944286138,-4.47543954849
455,-66.1428901854,45.2944096003,-4.5110001564
456,-66.142832479,45.2943905868,-4.41650009155
457,-66.1427747725,45.2943715733,-4.3795003891
458,-66.1427170662,45.2943525598,-4.34055233002
459,-66.1426593598,45.2943335462,-4.29111814499
460,-66.1426016535,45.2943145326,-4.29077720642
461,-66.1425439472,45.294295519,-4.28700017929
462,-66.142486241,45.2942765053,-4.28700017929
463,-66.1424285348,45.2942574916,-4.28700017929
464,-66.1423708286,45.2942384779,-4.30700016022
465,-66.1423131225,45.2942194642,-4.25572633743
466,-66.1422554165,45.2942004504,-4.23883342743
467,-66.1421977104,45.2941814366,-4.19538068771
468,-66.1421400044,45.2941624228,-4.17674779892
469,-66.1420822985,45.2941434089,-4.14693641663
470,-66.1420245925,45.294124395,-4.17700004578
471,-66.1419668867,45.2941053811,-4.117000103
472,-66.1419091808,45.2940863672,-4.18866634369
473,-66.141851475,45.2940673532,-4.16699981689
474,-66.1417937693,45.2940483392,-4.27699995041
475,-66.1417360635,45.2940293251,-4.15600013733
476,-66.1416783579,45.2940103111,-4.1360001564
477,-66.1416206522,45.293991297,-4.15600013733
478,-66.1415629466,45.2939722828,-4.15600013733
479,-66.141505241,45.2939532687,-4.14599990845
480,-66.1414475355,45.2939342545,-4.14136695862
481,-66.14138983,45.2939152403,-4.12599992752
482,-66.1413321246,45.2938962261,-4.12351322174
483,-66.1412744191,45.2938772118,-4.08599996567
484,-66.1412167138,45.2938581975,-4.07868385315
485,-66.1411590084,45.2938391831,-4.09359264374
486,-66.1411013031,45.2938201688,-4.08599948883
487,-66.1410435979,45.2938011544,-4.08599996567
488,-66.1409858927,45.29378214,-4.10599994659
489,-66.1409281875,45.2937631255,-4.15600013733
490,-66.1408704824,45.293744111,-4.03599977493
491,-66.1408127773,45.2937250965,-4.11100006104
492,-66.1407550722,45.293706082,-4.08099985123
493,-66.1406973672,45.2936870674,-4.08099985123
494,-66.1406396622,45.2936680528,-4.07100009918
495,-66.1405819573,45.2936490382,-4.09100008011
496,-66.1405242523,45.2936300236,-4.067091465
497,-66.1404665475,45.2936110089,-4.06741285324
498,-66.1404088427,45.2935919942,-4.04099988937
499,-66.1403511379,45.2935729794,-4.04050254822
500,-66.1402934331,45.2935539646,-4.03100013733
501,-66.1402357284,45.2935349498,-4.07100009918
502,-66.1401780237,45.293515935,-4.07328748703
503,-66.1401203191,45.2934969202,-4.13800001144
504,-66.1400626145,45.2934779053,-4.10233974457
505,-66.14000491,45.2934588903,-4.08304023743
506,-66.1399472055,45.2934398754,-4.05800008774
507,-66.139889501,45.2934208604,-4.1219420433
508,-66.1398317965,45.2934018454,-4.08801794052
509,-66.1397740921,45.2933828304,-4.10160303116
510,-66.1397163878,45.2933638153,-4.09215736389
511,-66.1396586835,45.2933448002,-4.10009336472
512,-66.1396009792,45.2933257851,-4.09455680847
513,-66.1395432749,45.2933067699,-4.08199739456
514,-66.1394855707,45.2932877547,-4.08254861832
515,-66.1394278666,45.2932687395,-4.06689929962
516,-66.1393701625,45.2932497243,-4.09800004959
517,-66.1393124584,45.293230709,-4.13100004196
518,-66.1392547543,45.2932116937,-4.07100009918
519,-66.1391970503,45.2931926784,-4.08099985123
520,-66.1391393464,45.293173663,-4.08099985123
521,-66.1390816424,45.2931546476,-4.12193155289
522,-66.1390239385,45.2931356322,-4.15600013733
523,-66.1389662347,45.2931166168,-4.13707828522
524,-66.1389085309,45.2930976013,-4.17578554153
525,-66.1388508271,45.2930785858,-4.3117685318
526,-66.1387931234,45.2930595702,-4.18578767776
527,-66.1387354197,45.2930405547,-4.20511770248
528,-66.138677716,45.2930215391,-4.24429750443
529,-66.1386200124,45.2930025235,-4.27895116806
530,-66.1385623088,45.2929835078,-4.41666698456
531,-66.1385046053,45.2929644921,-4.26771306992
532,-66.1384469018,45.2929454764,-4.22822666168
533,-66.1383891983,45.2929264607,-4.34675693512
534,-66.1383314949,45.2929074449,-4.49595308304
535,-66.1382737915,45.2928884291,-4.34077596664
536,-66.1382160882,45.2928694133,-4.43321418762
537,-66.1381583849,45.2928503974,-4.47566986084
538,-66.1381006816,45.2928313815,-4.06105184555
539,-66.1380429784,45.2928123656,-4.09266090393
540,-66.1379852752,45.2927933496,-4.44910955429
541,-66.1379275721,45.2927743337,-4.16837215424
542,-66.137869869,45.2927553177,-4.50242900848
543,-66.1378121659,45.2927363016,-4.53609371185
544,-66.1377544629,45.2927172856,-4.54574012756
545,-66.1376967599,45.2926982695,-4.59700012207
546,-66.1376390569,45.2926792533,-4.63499641418
547,-66.137581354,45.2926602372,-4.65099048615
548,-66.1375236511,45.292641221,-4.68699979782
